Train Epoch: 0, Loss: 3.597892, Test Average loss: 3.3970, Accuracy: 4.55%  
Train Epoch: 1, Loss: 3.362305, Test Average loss: 3.2860, Accuracy: 5.45%  
Train Epoch: 2, Loss: 3.320586, Test Average loss: 3.2148, Accuracy: 5.8%  
Train Epoch: 3, Loss: 3.290477, Test Average loss: 3.2023, Accuracy: 4.95%  
Train Epoch: 4, Loss: 3.288249, Test Average loss: 3.2020, Accuracy: 4.95%  
Train Epoch: 5, Loss: 3.272488, Test Average loss: 3.1975, Accuracy: 5.15%  
Train Epoch: 6, Loss: 3.242012, Test Average loss: 3.1884, Accuracy: 4.95%  
Train Epoch: 7, Loss: 3.217976, Test Average loss: 3.1815, Accuracy: 5.1%  
Train Epoch: 8, Loss: 3.233980, Test Average loss: 3.1896, Accuracy: 5.1%  
Train Epoch: 9, Loss: 3.219428, Test Average loss: 3.1822, Accuracy: 4.95%  
Train Epoch: 10, Loss: 3.197052, Test Average loss: 3.1756, Accuracy: 4.95%  
Train Epoch: 11, Loss: 3.205361, Test Average loss: 3.1786, Accuracy: 4.95%  
Train Epoch: 12, Loss: 3.200825, Test Average loss: 3.1830, Accuracy: 4.95%  
Train Epoch: 13, Loss: 3.198070, Test Average loss: 3.1736, Accuracy: 4.95%  
Train Epoch: 14, Loss: 3.207749, Test Average loss: 3.1715, Accuracy: 4.95%  
Train Epoch: 15, Loss: 3.194386, Test Average loss: 3.1678, Accuracy: 9.15%  
Train Epoch: 16, Loss: 3.165408, Test Average loss: 3.1483, Accuracy: 7.65%  
Train Epoch: 17, Loss: 3.155481, Test Average loss: 3.1182, Accuracy: 10.65%  
Train Epoch: 18, Loss: 3.043470, Test Average loss: 2.9921, Accuracy: 12.75%  
Train Epoch: 19, Loss: 2.793329, Test Average loss: 2.7038, Accuracy: 16.2%  
Train Epoch: 20, Loss: 2.602659, Test Average loss: 2.5136, Accuracy: 19.35%  
Train Epoch: 21, Loss: 2.498957, Test Average loss: 2.3571, Accuracy: 22.25%  
Train Epoch: 22, Loss: 2.422838, Test Average loss: 2.2838, Accuracy: 23.0%  
Train Epoch: 23, Loss: 2.428607, Test Average loss: 2.2114, Accuracy: 25.6%  
Train Epoch: 24, Loss: 2.346972, Test Average loss: 2.1996, Accuracy: 29.0%  
Train Epoch: 25, Loss: 2.323924, Test Average loss: 2.0560, Accuracy: 31.2%  
Train Epoch: 26, Loss: 2.118042, Test Average loss: 2.0647, Accuracy: 31.85%  
Train Epoch: 27, Loss: 2.140985, Test Average loss: 1.9582, Accuracy: 32.45%  
Train Epoch: 28, Loss: 2.004161, Test Average loss: 1.9159, Accuracy: 32.95%  
