Train Epoch: 0, Loss: 3.811755, Test Average loss: 3.7224, Accuracy: 2.85%  
Train Epoch: 1, Loss: 3.650565, Test Average loss: 3.6210, Accuracy: 2.85%  
Train Epoch: 2, Loss: 3.648474, Test Average loss: 3.5680, Accuracy: 2.75%  
Train Epoch: 3, Loss: 3.584424, Test Average loss: 3.5562, Accuracy: 2.0%  
Train Epoch: 4, Loss: 3.600039, Test Average loss: 3.5554, Accuracy: 2.95%  
Train Epoch: 5, Loss: 3.593550, Test Average loss: 3.5459, Accuracy: 2.95%  
Train Epoch: 6, Loss: 3.598046, Test Average loss: 3.5463, Accuracy: 2.95%  
Train Epoch: 7, Loss: 3.575717, Test Average loss: 3.5456, Accuracy: 2.95%  
Train Epoch: 8, Loss: 3.537601, Test Average loss: 3.5384, Accuracy: 1.95%  
Train Epoch: 9, Loss: 3.578528, Test Average loss: 3.5373, Accuracy: 2.95%  
Train Epoch: 10, Loss: 3.538672, Test Average loss: 3.5353, Accuracy: 4.7%  
Train Epoch: 11, Loss: 3.541950, Test Average loss: 3.5382, Accuracy: 2.95%  
Train Epoch: 12, Loss: 3.554784, Test Average loss: 3.5312, Accuracy: 3.9%  
Train Epoch: 13, Loss: 3.556991, Test Average loss: 3.5319, Accuracy: 2.95%  
Train Epoch: 14, Loss: 3.557852, Test Average loss: 3.5312, Accuracy: 2.95%  
Train Epoch: 15, Loss: 3.545313, Test Average loss: 3.5295, Accuracy: 4.15%  
Train Epoch: 16, Loss: 3.557716, Test Average loss: 3.5245, Accuracy: 3.4%  
Train Epoch: 17, Loss: 3.514997, Test Average loss: 3.5141, Accuracy: 4.5%  
Train Epoch: 18, Loss: 3.506709, Test Average loss: 3.4983, Accuracy: 4.25%  
Train Epoch: 19, Loss: 3.491875, Test Average loss: 3.4431, Accuracy: 8.4%  
Train Epoch: 20, Loss: 3.256753, Test Average loss: 3.2604, Accuracy: 9.75%  
Train Epoch: 21, Loss: 3.202168, Test Average loss: 3.1158, Accuracy: 11.5%  
Train Epoch: 22, Loss: 3.077626, Test Average loss: 2.9607, Accuracy: 13.7%  
Train Epoch: 23, Loss: 2.990807, Test Average loss: 2.8818, Accuracy: 15.4%  
Train Epoch: 24, Loss: 2.923230, Test Average loss: 2.8341, Accuracy: 16.8%  
